"記事番号","カテゴリ","記事タイトル","画像枚数の目安","アイキャッチ_ファイル名","アイキャッチ_alt","検索キーワード(日)","検索キーワード(英)","本文中画像のヒント"
"124","テナント仲介","事業用賃貸借契約書のチェックポイントを徹底解説","アイキャッチ1枚（必須）＋本文中1枚（任意）","124-tenant-chintaishaku-keiyakusho-hero.jpg","事業用賃貸借契約書の条項を一つずつ確認する店舗オーナーの様子","テナント / 店舗 テナント / オフィス","storefront shop office commercial space tokyo business","最初の見出し（##）付近に「テナント」に関する写真や図解を1枚（任意）。ファイル名例: 124-tenant-chintaishaku-keiyakusho-01.jpg"
"125","テナント仲介","テナントの中途解約と解約予告期間の注意点を解説","アイキャッチ1枚（必須）＋本文中1枚（任意）","125-tenant-chuto-kaiyaku-hero.jpg","店舗の中途解約に向けて解約通知書と契約書を確認する事業者の様子","テナント / 店舗 テナント / オフィス","storefront shop office commercial space tokyo business","最初の見出し（##）付近に「テナント」に関する写真や図解を1枚（任意）。ファイル名例: 125-tenant-chuto-kaiyaku-01.jpg"
"126","テナント仲介","テナント賃料以外にかかる共益費・管理費を解説","アイキャッチ1枚（必須）＋本文中1枚（任意）","126-tenant-kyoekihi-hero.jpg","テナントの共益費と管理費の内訳を試算する店舗オーナーの様子","テナント / 店舗 テナント / オフィス","storefront shop office commercial space tokyo business","最初の見出し（##）付近に「テナント」に関する写真や図解を1枚（任意）。ファイル名例: 126-tenant-kyoekihi-01.jpg"
"127","テナント仲介","テナント物件の更新料と契約更新の流れを解説","アイキャッチ1枚（必須）＋本文中1枚（任意）","127-tenant-koshinryo-hero.jpg","テナント契約の更新書類を確認する店舗オーナーと担当者の様子","テナント / 店舗 テナント / オフィス","storefront shop office commercial space tokyo business","最初の見出し（##）付近に「テナント」に関する写真や図解を1枚（任意）。ファイル名例: 127-tenant-koshinryo-01.jpg"
"128","テナント仲介","店舗の電気容量・インフラ確認の重要性を解説","アイキャッチ1枚（必須）＋本文中1枚（任意）","128-tenpo-denki-yoryo-hero.jpg","店舗の分電盤と電気容量を確認する事業者と設備担当者の様子","店舗 / 店舗 テナント / オフィス","storefront shop office commercial space tokyo business","最初の見出し（##）付近に「店舗」に関する写真や図解を1枚（任意）。ファイル名例: 128-tenpo-denki-yoryo-01.jpg"
"129","テナント仲介","飲食店開業の物件選び｜居抜きと排気・給排水の要点","アイキャッチ1枚（必須）＋本文中1枚（任意）","129-inshokuten-inukinuki-bukken-hero.jpg","飲食店の居抜き物件で厨房設備と排気ダクトを確認する開業希望者の様子","飲食店 / 店舗 テナント / オフィス","storefront shop office commercial space tokyo business","最初の見出し（##）付近に「飲食店」に関する写真や図解を1枚（任意）。ファイル名例: 129-inshokuten-inukinuki-bukken-01.jpg"
"130","テナント仲介","美容室・サロンの店舗物件選びのポイントを解説","アイキャッチ1枚（必須）＋本文中1枚（任意）","130-biyoshitsu-bukken-erabikata-hero.jpg","美容室の開業に向けて店舗物件の広さとレイアウトを確認するオーナーの様子","美容室 / 店舗 テナント / オフィス","storefront shop office commercial space tokyo business","最初の見出し（##）付近に「美容室」に関する写真や図解を1枚（任意）。ファイル名例: 130-biyoshitsu-bukken-erabikata-01.jpg"
"131","テナント仲介","クリニック・歯科の開業物件の選び方｜失敗しない条件と注意点","アイキャッチ1枚（必須）＋本文中1枚（任意）","131-clinic-kaigyo-bukken-hero.jpg","東京の医療モールに入居するクリニックの内観。明るい待合室とバリアフリー対応の入口","クリニック / 店舗 テナント / オフィス","storefront shop office commercial space tokyo business","最初の見出し（##）付近に「クリニック」に関する写真や図解を1枚（任意）。ファイル名例: 131-clinic-kaigyo-bukken-01.jpg"
"132","テナント仲介","学習塾・教室向けテナントの選び方｜立地と物件条件の見極め方","アイキャッチ1枚（必須）＋本文中1枚（任意）","132-juku-kyoshitsu-bukken-erabikata-hero.jpg","東京の駅近ビルに入る学習塾。明るい自習スペースと通いやすい立地","学習塾 / 店舗 テナント / オフィス","storefront shop office commercial space tokyo business","最初の見出し（##）付近に「学習塾」に関する写真や図解を1枚（任意）。ファイル名例: 132-juku-kyoshitsu-bukken-erabikata-01.jpg"
"133","テナント仲介","物販・小売店舗の立地と物件選び｜売上を左右する立地の見極め方","アイキャッチ1枚（必須）＋本文中1枚（任意）","133-buppan-tenpo-ricchi-hero.jpg","東京の商店街に面した路面店。通行人から見えやすいショーウィンドウ","物販 / 店舗 テナント / オフィス","storefront shop office commercial space tokyo business","最初の見出し（##）付近に「物販」に関する写真や図解を1枚（任意）。ファイル名例: 133-buppan-tenpo-ricchi-01.jpg"
"134","テナント仲介","整体・治療院の開業に適した物件の条件｜立地と設備の選び方","アイキャッチ1枚（必須）＋本文中1枚（任意）","134-seitaiin-kaigyo-bukken-hero.jpg","東京の住宅地に開業した整体院。落ち着いた施術スペースと通いやすい立地","整体院 / 店舗 テナント / オフィス","storefront shop office commercial space tokyo business","最初の見出し（##）付近に「整体院」に関する写真や図解を1枚（任意）。ファイル名例: 134-seitaiin-kaigyo-bukken-01.jpg"
"135","テナント仲介","カフェ開業の物件選びと必要な設備｜給排水・排気・電気の条件","アイキャッチ1枚（必須）＋本文中1枚（任意）","135-cafe-kaigyo-bukken-hero.jpg","東京の路地に面したカフェ。自然光の入る客席と落ち着いた雰囲気","カフェ / 店舗 テナント / オフィス","storefront shop office commercial space tokyo business","最初の見出し（##）付近に「カフェ」に関する写真や図解を1枚（任意）。ファイル名例: 135-cafe-kaigyo-bukken-01.jpg"
"136","テナント仲介","オフィスの坪数の目安｜従業員数別の必要面積と選び方","アイキャッチ1枚（必須）＋本文中1枚（任意）","136-office-tsubosu-meyasu-hero.jpg","東京のオフィスビル内のワークスペース。ゆとりのあるデスク配置と会議スペース","オフィス / 店舗 テナント / 商業施設","storefront shop office commercial space tokyo business","最初の見出し（##）付近に「オフィス」に関する写真や図解を1枚（任意）。ファイル名例: 136-office-tsubosu-meyasu-01.jpg"
"137","テナント仲介","バー・スナックの出店物件の探し方｜立地と設備・法的注意点","アイキャッチ1枚（必須）＋本文中1枚（任意）","137-bar-snack-shutten-bukken-hero.jpg","東京の繁華街の雑居ビルに入るバー。落ち着いた照明のカウンター","バー / 店舗 テナント / オフィス","storefront shop office commercial space tokyo business","最初の見出し（##）付近に「バー」に関する写真や図解を1枚（任意）。ファイル名例: 137-bar-snack-shutten-bukken-01.jpg"
"138","テナント仲介","テイクアウト・デリバリー向け物件の探し方｜立地と設備の条件","アイキャッチ1枚（必須）＋本文中1枚（任意）","138-delivery-tenpo-bukken-hero.jpg","東京の小型店舗で調理し、デリバリー注文に対応する厨房の様子","デリバリー / 店舗 テナント / オフィス","storefront shop office commercial space tokyo business","最初の見出し（##）付近に「デリバリー」に関する写真や図解を1枚（任意）。ファイル名例: 138-delivery-tenpo-bukken-01.jpg"
"139","テナント仲介","コワーキング・シェアオフィスの選び方｜タイプ別の比較と注意点","アイキャッチ1枚（必須）＋本文中1枚（任意）","139-share-office-erabikata-hero.jpg","東京のシェアオフィス。共用ワークスペースと個室ブースが並ぶ様子","シェアオフィス / 店舗 テナント / オフィス","storefront shop office commercial space tokyo business","最初の見出し（##）付近に「シェアオフィス」に関する写真や図解を1枚（任意）。ファイル名例: 139-share-office-erabikata-01.jpg"
"140","テナント仲介","倉庫・軽作業向け事業用物件の探し方｜床荷重と搬入の条件","アイキャッチ1枚（必須）＋本文中1枚（任意）","140-souko-chintai-sagashikata-hero.jpg","首都圏の貸し倉庫。高い天井とトラックが横付けできる搬入口","倉庫 / 店舗 テナント / オフィス","storefront shop office commercial space tokyo business","最初の見出し（##）付近に「倉庫」に関する写真や図解を1枚（任意）。ファイル名例: 140-souko-chintai-sagashikata-01.jpg"
"141","テナント仲介","テナント募集の進め方｜空室を埋めるオーナーのコツ","アイキャッチ1枚（必須）＋本文中1枚（任意）","141-tenant-bosyu-kushitsu-taisaku-hero.jpg","空室の事業用テナント物件の内観。募集条件の見直しで成約につなげるイメージ","テナント募集 / 店舗 テナント / オフィス","storefront shop office commercial space tokyo business","最初の見出し（##）付近に「テナント募集」に関する写真や図解を1枚（任意）。ファイル名例: 141-tenant-bosyu-kushitsu-taisaku-01.jpg"
"142","テナント仲介","事業用物件の賃料設定の考え方｜オーナーの判断軸","アイキャッチ1枚（必須）＋本文中1枚（任意）","142-jigyo-yo-chinryo-settei-hero.jpg","事業用テナントの賃料設定を検討する資料と物件外観のイメージ","事業用 / 店舗 テナント / オフィス","storefront shop office commercial space tokyo business","最初の見出し（##）付近に「事業用」に関する写真や図解を1枚（任意）。ファイル名例: 142-jigyo-yo-chinryo-settei-01.jpg"
"143","テナント仲介","テナント審査で見るべきポイント｜オーナー向け解説","アイキャッチ1枚（必須）＋本文中1枚（任意）","143-tenant-shinsa-point-hero.jpg","テナント入居審査の書類を確認するオーナーと仲介担当者のイメージ","テナント審査 / 店舗 テナント / オフィス","storefront shop office commercial space tokyo business","最初の見出し（##）付近に「テナント審査」に関する写真や図解を1枚（任意）。ファイル名例: 143-tenant-shinsa-point-01.jpg"
"144","テナント仲介","テナントの賃料滞納・トラブルへの対応｜オーナーの実務","アイキャッチ1枚（必須）＋本文中1枚（任意）","144-tenant-chinryo-tainou-hero.jpg","テナントの賃料滞納に対応するオーナーと書類のイメージ","テナント / 店舗 テナント / オフィス","storefront shop office commercial space tokyo business","最初の見出し（##）付近に「テナント」に関する写真や図解を1枚（任意）。ファイル名例: 144-tenant-chinryo-tainou-01.jpg"
"145","テナント仲介","テナントの立ち退き交渉と立退料の基礎｜オーナー向け","アイキャッチ1枚（必須）＋本文中1枚（任意）","145-tenant-tachinoki-tachinokiryo-hero.jpg","テナントの立ち退き交渉を進めるオーナーと物件のイメージ","テナント / 店舗 テナント / オフィス","storefront shop office commercial space tokyo business","最初の見出し（##）付近に「テナント」に関する写真や図解を1枚（任意）。ファイル名例: 145-tenant-tachinoki-tachinokiryo-01.jpg"
"146","テナント仲介","事業用定期借家契約のメリット｜オーナー向け解説","アイキャッチ1枚（必須）＋本文中1枚（任意）","146-jigyo-yo-teiki-shakka-hero.jpg","事業用定期借家契約の書類を確認するオーナーと物件のイメージ","事業用定期借家 / 店舗 テナント / オフィス","storefront shop office commercial space tokyo business","最初の見出し（##）付近に「事業用定期借家」に関する写真や図解を1枚（任意）。ファイル名例: 146-jigyo-yo-teiki-shakka-01.jpg"
"147","テナント仲介","オーナーのための事業用原状回復・敷金精算の基礎","アイキャッチ1枚（必須）＋本文中1枚（任意）","147-jigyo-yo-genjo-kaifuku-owner-hero.jpg","事業用テナント退去後の原状回復工事と精算書類のイメージ","事業用 / 店舗 テナント / オフィス","storefront shop office commercial space tokyo business","最初の見出し（##）付近に「事業用」に関する写真や図解を1枚（任意）。ファイル名例: 147-jigyo-yo-genjo-kaifuku-owner-01.jpg"
"148","テナント仲介","東京で店舗物件を借りるエリア別の特徴と相場","アイキャッチ1枚（必須）＋本文中1枚（任意）","148-tokyo-tenpo-bukken-souba-hero.jpg","東京の主要商業エリアの街並みと店舗物件のイメージ","東京 / 店舗 テナント / オフィス","storefront shop office commercial space tokyo business","最初の見出し（##）付近に「東京」に関する写真や図解を1枚（任意）。ファイル名例: 148-tokyo-tenpo-bukken-souba-01.jpg"
"149","テナント仲介","都心の人気商業エリアの出店相場と傾向を解説","アイキャッチ1枚（必須）＋本文中1枚（任意）","149-toshin-shutten-souba-hero.jpg","都心の人気商業エリアの賑わいと路面店のイメージ","都心 / 店舗 テナント / オフィス","storefront shop office commercial space tokyo business","最初の見出し（##）付近に「都心」に関する写真や図解を1枚（任意）。ファイル名例: 149-toshin-shutten-souba-01.jpg"
"150","テナント仲介","東京でオフィス賃貸を選ぶエリアのポイント","アイキャッチ1枚（必須）＋本文中1枚（任意）","150-tokyo-office-chintai-area-hero.jpg","東京の主要ビジネスエリアのオフィスビル街のイメージ","東京 / 店舗 テナント / オフィス","storefront shop office commercial space tokyo business","最初の見出し（##）付近に「東京」に関する写真や図解を1枚（任意）。ファイル名例: 150-tokyo-office-chintai-area-01.jpg"
